drug1_id,drug2_id,level
9353,477,Moderate
9353,1018,Moderate
9353,228,Moderate
208,9353,Minor
9353,568,Moderate
9353,178,Moderate
9353,4406,Moderate
9353,440,Moderate
9353,1289,Moderate
9353,4223,Minor
9353,7501,Moderate
9353,1270,Major
9353,1303,Major
9353,3327,Major
9353,5617,Moderate
9353,2615,Moderate
9353,8571,Minor
9353,491,Moderate
5358,471,Moderate
7468,477,Moderate
208,7468,Minor
7468,179,Major
2361,7468,Major
7468,568,Major
7468,6816,Major
7468,440,Moderate
217,7468,Major
7468,1221,Major
7468,1289,Moderate
2636,7468,Moderate
2211,7468,Moderate
471,7468,Moderate
261,7468,Moderate
7061,7468,Major
2171,7468,Minor
3650,7468,Major
7468,7501,Moderate
7468,486,Minor
720,7468,Moderate
675,7468,Moderate
7468,22,Moderate
903,7468,Moderate
8737,7468,Moderate
211,7468,Moderate
179,9353,Major
217,9353,Major
1221,9353,Major
455,9353,Minor
2636,9353,Minor
7061,9353,Major
3650,9353,Major
690,4632,Moderate
690,477,Moderate
690,1018,Moderate
9320,690,Minor
690,2260,Minor
690,10377,Minor
690,228,Moderate
690,179,Moderate
2361,690,Moderate
690,568,Moderate
690,6816,Moderate
690,178,Moderate
690,1311,Minor
690,2211,Moderate
690,5617,Moderate
690,2615,Moderate
690,903,Minor
690,491,Moderate
211,690,Moderate
1234,179,Minor
623,208,Moderate
623,6816,Major
623,4406,Moderate
111,623,Moderate
623,1221,Moderate
3759,623,Moderate
623,2636,Moderate
623,471,Moderate
623,261,Moderate
623,7061,Moderate
623,720,Moderate
623,5032,Moderate
623,4404,Minor
1250,4406,Moderate
1250,1270,Major
1250,1303,Major
1250,3327,Major
581,4406,Moderate
581,1270,Major
581,1303,Moderate
581,3327,Moderate
581,228,Moderate
1248,458,Minor
458,179,Minor
177,458,Moderate
4731,458,Minor
3783,458,Major
4223,458,Moderate
3513,458,Moderate
8216,458,Moderate
9174,458,Moderate
8571,458,Moderate
1317,458,Moderate
3037,179,Minor
3037,788,Moderate
3037,4223,Minor
3037,8571,Minor
9931,208,Moderate
9931,179,Major
9931,440,Moderate
9931,217,Major
9931,1221,Major
9931,1289,Moderate
9931,2636,Minor
9931,15,Moderate
9931,7061,Major
9931,7501,Moderate
9931,2119,Minor
4632,504,Moderate
504,477,Moderate
504,568,Moderate
111,504,Moderate
504,471,Moderate
504,261,Minor
504,5617,Moderate
504,2615,Moderate
504,720,Moderate
491,504,Minor
211,504,Moderate
1267,1305,Moderate
111,1305,Minor
1221,1305,Moderate
4223,1305,Moderate
10043,1305,Minor
675,1305,Moderate
8571,1305,Moderate
434,5998,Minor
520,434,Moderate
111,434,Moderate
788,434,Moderate
471,434,Moderate
261,434,Moderate
15,434,Moderate
2300,434,Moderate
720,434,Moderate
434,675,Moderate
903,434,Minor
208,184,Major
2361,184,Major
184,568,Major
184,455,Moderate
184,2211,Moderate
471,184,Major
7061,184,Moderate
179,1560,Moderate
2361,1560,Moderate
568,1560,Moderate
1560,6816,Moderate
2211,1560,Moderate
211,1560,Moderate
1018,1527,Minor
1233,1018,Moderate
1457,1018,Moderate
4632,1018,Major
4638,1018,Moderate
9968,1018,Major
4435,1018,Moderate
1018,2588,Minor
8619,1018,Major
1018,7296,Moderate
4808,1018,Moderate
7226,1018,Moderate
125,1018,Moderate
1018,9381,Moderate
578,1018,Major
7900,1018,Moderate
208,1018,Moderate
1298,1018,Major
2296,1018,Major
1018,5824,Moderate
1018,224,Moderate
3354,1018,Moderate
7459,1018,Moderate
222,1018,Moderate
7899,1018,Major
4682,1018,Major
2186,1018,Moderate
1018,2247,Moderate
1018,1353,Major
1018,1387,Major
1018,568,Major
1259,1018,Moderate
1888,1018,Major
7195,1018,Moderate
7212,1018,Moderate
7463,1018,Moderate
4319,1018,Moderate
195,1018,Major
1488,1018,Moderate
5050,1018,Moderate
1514,1018,Moderate
1018,6816,Major
2241,1018,Moderate
1018,1267,Major
6669,1018,Moderate
5570,1018,Moderate
8285,1018,Moderate
6990,1018,Moderate
7052,1018,Moderate
1933,1018,Moderate
687,1018,Moderate
10181,1018,Moderate
1018,10254,Moderate
2149,1018,Moderate
3917,1018,Major
9108,1018,Major
217,1018,Major
3934,1018,Major
1018,7204,Moderate
6864,1018,Major
1018,842,Major
3927,1018,Minor
511,1018,Moderate
1018,7364,Moderate
1018,1132,Minor
1018,4705,Major
1018,2326,Major
4557,1018,Moderate
4803,1018,Moderate
